id,name,size,price,Allergy,Comment,Soya,Dairy,Gluten,Nuts
1,Cookie,S,3.0,Soya,,false,false,true,true
2,Pastry,L,1.00,Gluten,,true,false,true,true
3,Muffin,M,0.50,Dairy,,true,false,false,true
4,Hot-water,L,2.50,None,,false,true,false,false
5,Coffee,S,3.50,Soya,,false,false,false,true
6,Muffin,L,3.50,Soya,,true,false,false,false
7,Tea,L,1.00,Nuts,,false,false,false,false
8,Pastry,S,1.50,None,,true,true,false,true
9,Pastry,L,3.50,None,,false,false,false,false
10,Tea,L,3.0,Dairy,,false,false,true,false
11,Cookie,S,0.50,Soya,,true,false,true,true
12,Hot-water,M,1.00,None,,true,true,true,true
13,Muffin,S,1.00,None,,true,false,true,false
14,Pastry,L,3.50,Nuts,,true,false,false,false
15,Muffin,M,3.0,Dairy,,true,false,true,false
16,Espresso,S,1.50,Dairy,,true,false,false,true
17,Muffin,L,0.50,Dairy,,true,false,false,true
18,Coffee,M,1.50,Dairy,,true,true,false,true
19,Hot-water,M,2.50,Gluten,,true,true,true,true
20,Muffin,L,4.00,Dairy,,false,false,false,true
21,Espresso,M,1.00,Soya,,false,false,false,true
22,Pastry,S,4.00,Soya,,true,false,false,false
23,Pastry,M,2.50,None,,false,false,false,true
24,Hot-water,L,3.0,Nuts,,false,true,true,true
25,Coffee,S,3.0,Gluten,,true,true,false,false
26,Tea,M,3.50,Soya,,false,false,true,false
27,Pastry,L,3.0,Nuts,,false,true,true,false
28,Coffee,M,2.50,Soya,,true,false,true,true
29,Espresso,M,0.50,Soya,,true,false,false,false
30,Espresso,L,3.0,Soya,,true,false,false,true
31,Tea,S,3.0,Soya,,false,false,false,true
32,Muffin,L,1.50,Nuts,,false,false,true,true
33,Hot-water,L,3.50,Soya,,false,true,false,false
34,Hot-water,L,4.00,Dairy,,true,false,true,false
35,Hot-water,M,3.0,None,,true,true,true,true
36,Tea,M,3.50,Nuts,,false,false,true,false
37,Tea,M,1.50,None,,true,false,false,false
38,Espresso,M,3.50,Gluten,,false,false,false,true
39,Pastry,L,3.0,Gluten,,true,false,false,true
40,Coffee,S,0.50,Soya,,true,true,true,true
41,Espresso,M,1.00,Dairy,,false,true,true,true
42,Espresso,M,3.50,Soya,,false,false,false,true
43,Cookie,L,0.50,Nuts,,true,true,true,true
44,Coffee,L,0.50,Dairy,,false,true,false,true
45,Tea,L,3.50,None,,true,true,true,true
46,Tea,L,2.50,Gluten,,false,true,true,false
47,Cookie,L,2.50,Dairy,,false,false,true,false
48,Hot-water,L,0.50,Soya,,false,false,true,false
49,Pastry,L,0.50,Dairy,,false,false,false,false
50,Pastry,M,3.0,Dairy,,true,false,false,true
51,Espresso,S,4.00,None,,false,true,false,true
52,Coffee,S,1.50,Dairy,,true,false,false,false
53,Hot-water,M,1.50,None,,false,false,true,false
54,Muffin,M,3.0,Gluten,,false,true,false,false
55,Espresso,S,2.50,Nuts,,false,false,true,true
56,Tea,L,1.00,Gluten,,false,true,false,false
57,Cookie,L,1.00,Soya,,false,false,false,true
58,Tea,L,3.50,Gluten,,false,true,true,true
59,Cookie,L,3.50,Nuts,,false,false,false,true
60,Tea,S,4.00,Nuts,,false,true,true,false
61,Espresso,L,2.50,Gluten,,true,false,false,false
62,Muffin,L,0.50,Dairy,,true,false,false,true
63,Cookie,M,4.00,Dairy,,false,true,false,true
64,Hot-water,L,1.50,None,,false,false,true,true
65,Hot-water,L,4.00,Nuts,,false,true,true,true
66,Muffin,S,2.50,Nuts,,true,false,false,true
67,Tea,L,0.50,Soya,,false,false,true,false
68,Coffee,S,2.50,Gluten,,false,false,true,true
69,Coffee,L,1.00,Gluten,,false,true,true,false
70,Pastry,M,4.00,Nuts,,true,true,true,true
71,Espresso,L,1.50,Nuts,,false,true,false,false
72,Cookie,M,3.0,Gluten,,false,false,false,true
73,Coffee,M,1.00,Soya,,true,false,true,false
74,Tea,M,3.0,Nuts,,true,false,true,false
75,Tea,S,2.50,Gluten,,false,true,false,false
76,Coffee,S,3.50,Gluten,,true,false,true,true
77,Tea,M,2.50,Nuts,,false,true,true,true
78,Coffee,S,0.50,Soya,,false,false,false,true
79,Cookie,L,1.00,Nuts,,true,true,true,true
80,Espresso,M,0.50,Gluten,,false,true,true,true
81,Cookie,M,0.50,None,,false,false,false,false
82,Muffin,S,2.50,Soya,,false,false,false,true
83,Espresso,S,4.00,Soya,,false,false,false,false
84,Espresso,L,2.50,Gluten,,false,true,false,false
85,Hot-water,S,3.0,Nuts,,true,true,true,false
86,Cookie,L,3.50,Gluten,,true,true,true,true
87,Hot-water,S,1.50,None,,true,true,true,true
88,Tea,S,2.50,Nuts,,false,false,true,false
89,Tea,S,2.50,Nuts,,false,false,false,true
90,Espresso,L,0.50,None,,false,false,false,true
91,Espresso,S,1.00,None,,true,false,true,true
92,Pastry,L,1.00,Gluten,,true,true,false,false
93,Coffee,L,1.50,Dairy,,true,true,false,true
94,Hot-water,L,0.50,Dairy,,false,false,false,false
95,Pastry,S,2.50,Nuts,,true,true,true,true
96,Pastry,S,1.00,Gluten,,false,true,true,false
97,Tea,S,4.00,None,,true,false,false,false
98,Espresso,S,1.50,None,,false,false,true,true
99,Cookie,M,0.50,Dairy,,true,false,false,false
100,Pastry,M,0.50,Gluten,,true,true,true,false
101,Espresso,S,2.50,Dairy,,false,false,true,false
102,Coffee,S,1.50,Dairy,,false,false,false,true
103,Cookie,M,4.00,Nuts,,false,true,false,true
104,Hot-water,L,1.50,Nuts,,true,true,false,false
105,Muffin,S,0.50,Gluten,,true,false,false,true
106,Tea,L,3.0,Soya,,true,false,true,true
107,Espresso,M,3.50,Gluten,,false,false,false,true
108,Tea,M,2.50,None,,true,true,true,true
109,Espresso,M,1.00,Dairy,,true,false,true,true
110,Muffin,L,3.0,None,,false,false,true,true
111,Espresso,L,0.50,Soya,,false,true,true,true
112,Tea,M,4.00,Dairy,,true,false,true,true
113,Espresso,M,3.0,Nuts,,false,true,true,false
114,Hot-water,M,2.50,Dairy,,true,true,true,false
115,Tea,M,2.50,Gluten,,false,false,true,true
116,Muffin,S,1.00,Dairy,,true,true,false,true
117,Pastry,M,3.50,Nuts,,false,false,false,false
118,Coffee,L,3.0,None,,false,true,false,true
119,Tea,S,4.00,Gluten,,false,true,true,true
120,Hot-water,S,4.00,Nuts,,false,false,true,true
121,Pastry,L,0.50,Dairy,,false,true,true,true
122,Hot-water,L,3.0,Gluten,,false,false,false,false
