"Age";"Sex";"Cabin";"Life Boat";"Passenger Class";"Port of Embarkation";"PassengerID";"No of Siblings or Spouses on Board";"No of Parents or Children on Board";"Passenger Fare";"Survived"
"range3 [1.763 - 2.562]";"F";"C22 C26";"0";"First";"Southampton";4;1;2;151.55;"No"
"range32 [24.915 - 25.713]";"F";"C22 C26";"0";"First";"Southampton";6;1;2;151.55;"No"
"range45 [35.293 - 36.092]";"F";"A29";"0";"First";"Cherbourg";107;0;0;31.6792;"No"
"range63 [49.663 - 50.462]";"F";"C49";"0";"First";"Cherbourg";171;0;0;28.7125;"No"
"range79 [62.437 - 63.235]";"F";"C55 C57";"0";"First";"Southampton";288;1;0;221.7792;"No"
"range55 [43.277 - 44.075]";"F";"unknown";"0";"Second";"Southampton";367;1;0;26.0;"No"
"range37 [28.907 - 29.705]";"F";"unknown";"0";"Second";"Southampton";371;1;0;26.0;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Second";"Southampton";383;0;0;13.0;"No"
"range48 [37.688 - 38.487]";"F";"unknown";"0";"Second";"Southampton";413;0;0;13.0;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Second";"Southampton";447;1;1;13.0;"No"
"range75 [59.243 - 60.042]";"F";"unknown";"0";"Second";"Southampton";458;1;0;26.0;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Second";"Southampton";470;0;0;21.0;"No"
"range33 [25.713 - 26.512]";"F";"unknown";"0";"Second";"Southampton";477;1;1;26.0;"No"
"range72 [56.848 - 57.647]";"F";"E77";"0";"Second";"Southampton";492;0;0;10.5;"No"
"range34 [26.512 - 27.310]";"F";"unknown";"0";"Second";"Southampton";578;1;0;21.0;"No"
"range30 [23.318 - 24.117]";"F";"unknown";"0";"Second";"Southampton";602;0;0;13.0;"No"
"range50 [39.285 - 40.083]";"F";"unknown";"0";"Third";"Southampton";613;1;0;9.475;"No"
"range8 [5.755 - 6.553]";"F";"unknown";"0";"Third";"Southampton";626;4;2;31.275;"No"
"range3 [1.763 - 2.562]";"F";"unknown";"0";"Third";"Southampton";627;4;2;31.275;"No"
"range48 [37.688 - 38.487]";"F";"unknown";"0";"Third";"Southampton";629;4;2;7.775;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Southampton";630;4;2;31.275;"No"
"range14 [10.545 - 11.343]";"F";"unknown";"0";"Third";"Southampton";631;4;2;31.275;"No"
"range49 [38.487 - 39.285]";"F";"unknown";"0";"Third";"Southampton";635;1;5;31.275;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Southampton";639;1;0;17.8;"No"
"range22 [16.932 - 17.730]";"F";"unknown";"0";"Third";"Cherbourg";653;0;0;14.4583;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Cherbourg";668;0;1;14.4542;"No"
"range57 [44.873 - 45.672]";"F";"unknown";"0";"Third";"Cherbourg";669;0;1;14.4542;"No"
"range34 [26.512 - 27.310]";"F";"unknown";"0";"Third";"Queenstown";670;0;0;7.8792;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Cherbourg";682;1;1;15.2458;"No"
"range40 [31.302 - 32.100]";"F";"unknown";"0";"Third";"Queenstown";687;1;1;15.5;"No"
"range25 [19.327 - 20.125]";"F";"unknown";"0";"Third";"Southampton";690;0;0;7.8542;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Queenstown";695;0;0;7.2833;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Queenstown";698;0;0;7.8792;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Southampton";699;0;0;8.6625;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Southampton";700;0;0;8.6625;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Queenstown";705;0;0;7.75;"No"
"range47 [36.890 - 37.688]";"F";"unknown";"0";"Third";"Queenstown";713;0;0;7.75;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Queenstown";729;0;0;7.6292;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Third";"Southampton";746;0;0;10.5167;"No"
"range35 [27.310 - 28.108]";"F";"unknown";"0";"Third";"Southampton";752;1;1;14.4;"No"
"range30 [23.318 - 24.117]";"F";"unknown";"0";"Third";"Queenstown";782;0;0;7.75;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Southampton";809;2;2;34.375;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Southampton";810;2;2;34.375;"No"
"range60 [47.268 - 48.067]";"F";"unknown";"0";"Third";"Southampton";814;1;3;34.375;"No"
"range13 [9.747 - 10.545]";"F";"unknown";"0";"Third";"Southampton";831;5;2;46.9;"No"
"range20 [15.335 - 16.133]";"F";"unknown";"0";"Third";"Southampton";832;5;2;46.9;"No"
